## B-spline experiments:  using SPHERE grid cutoff
#
# Testing: cubicBspline Taylor4
#
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4       7.000000                          15.548874   1.242872e-04   4.303463e-03       0.036793       0.825393
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4       8.000000                           7.675412   6.135205e-05   2.318797e-03       0.048490       1.251755
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4       9.000000                          -7.091475   5.668445e-05   1.343654e-03       0.076156       1.776757
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      10.000000                          10.054541   8.036919e-05   8.010884e-04       0.093886       1.875266
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      11.000000                          -4.756730   3.802208e-05   5.158996e-04       0.158827       2.633380
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      12.000000                           1.605150   1.283048e-05   3.373927e-04       0.262905       3.407771
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      13.000000                           0.478169   3.822159e-06   2.293982e-04       0.424078       4.371830
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      14.000000                          -0.176476   1.410628e-06   1.634678e-04       0.670441       5.363777
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      15.000000                           0.335523   2.681947e-06   1.154301e-04       0.805365       5.642561
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      16.000000                          -0.033942   2.713131e-07   8.589412e-05       1.241451       6.757473
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      17.000000                          -0.089883   7.184636e-07   8.319936e-05       1.841951       7.970273
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      18.000000                           0.034087   2.724708e-07   5.002663e-05       2.709153       9.549974
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      19.000000                           0.033427   2.671921e-07   3.952467e-05       3.866436      10.947743
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   cubicBspline        Taylor4      20.000000                           0.043268   3.458575e-07   4.003657e-05       4.463263      11.136664

# Testing: quinticBspline Taylor6
#
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6       7.000000                          16.692524   1.334287e-04   6.741748e-03       0.283171       1.060883
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6       8.000000                           5.981146   4.780923e-05   2.030753e-03       0.295330       1.572819
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6       9.000000                           0.822074   6.571101e-06   7.233490e-04       0.323165       2.193558
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      10.000000                          -1.470179   1.175162e-05   3.672528e-04       0.341074       2.301436
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      11.000000                           1.332329   1.064974e-05   1.798437e-04       0.406367       3.206822
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      12.000000                          -0.238621   1.907371e-06   8.978755e-05       0.509889       3.757216
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      13.000000                          -0.035419   2.831119e-07   5.292571e-05       0.515005       4.053784
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      14.000000                           0.059649   4.767933e-07   3.086017e-05       0.703718       4.974544
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      15.000000                          -0.008769   7.009119e-08   1.814556e-05       0.806224       5.199813
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      16.000000                           0.013928   1.113336e-07   1.195697e-05       1.140620       6.249902
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      17.000000                          -0.009109   7.281434e-08   8.274099e-06       1.601213       7.382921
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      18.000000                           0.003058   2.444200e-08   5.032213e-06       2.263500       8.795984
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      19.000000                           0.000975   7.797473e-09   3.426893e-06       3.149119      10.096422
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006 quinticBspline        Taylor6      20.000000                           0.000511   4.086354e-09   2.723869e-06       3.606010      10.268187

# Testing: septicBspline Taylor8
#
